Title;year;Kind;Genre;rating;vote;Country;Language;Cast;Director;composer;Writer;runtime;
Dancers In Mourning: Part 2;1990;Episode;Adventure, Crime, Drama, Mystery;7.5;49;Unknown;Unknown;Peter Davison, Brian Glover, Ian Ogilvy, Pippa Guard, Nina Marc, Nicolas Chagrin, Michael Melia, Hugh Paddick, Phillip Dupuy, Gabrielle Lloyd, Nikki Belsher, Andrew Burt, Graham Weston, Stephen Churchett, Tony Steedman, Altan R. Koraltan, John Watts;Christopher Hodson;Nigel Hess;Margery Allingham, John Hawkesworth, Jeremy Paul;55;
Danzig: Archive De La Morte;2003;Video Movie;Music;8.0;11;United States;English;Chuck Biscuits, Glenn Danzig, Eerie Von;Glenn Danzig;Unknown;Unknown;60;
Dark And Stormy Knight;2001;Episode;Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi;;;Unknown;Unknown;Madeleine Blaustein, Ted Lewis;Sôji Yoshikawa;Unknown;Masahiro Sakurai, Sôji Yoshikawa;24;
Dark Shadows: April 1968 - Episodes 461 - 482;2021;Episode;Talk-Show;;;Unknown;Unknown;Keith Chawgo, Tom Diamon, Vickie Rae, Jim Storm, Valerie Storm;Unknown;Unknown;Unknown;;
Daughter From Danang;2003;Episode;Documentary, Biography, History;7.0;19;Unknown;Unknown;Jessica Bub, John Bub, Kaitlin Bub, Sam T. Collins, Dinh Dung, Gerald Ford, Wanda Hamlett, Do Thi Thu Hien, William Holt Sr., Royce Hughes, Tancy Hughes, Mai Thi Kim, Brenda Lewis, Do Thi Hong Lien, Tom Miller, Don Neville, Jessica Neville, Kaitlin Neville, Mabel Neville, William Robert Neville, Heidi Neville-Bub, Thi Thu Trang Nguyen, Tran Tuong Nhu, Ana Petty, Erlene Roller, Do Trong Tinh, Tran Van Phuc, Do Huu Vinh;Gail Dolgin, Vicente Franco;B. Quincy Griffin, Hector H. Perez, Van-Anh T. Vo;Unknown;;
Deathstalker 2;2014;Episode;Comedy, News;;;Unknown;Unknown;;Unknown;Unknown;Cecil Trachenburg;;
Deer Season, Obamacare And The New World Order;2013;Episode;News, Talk-Show;;;Unknown;Unknown;Michael Hoggard;Unknown;Unknown;Michael Hoggard;119;
Defending Roseanne Season 9;2018;Episode;Comedy;;;Unknown;Unknown;Tim Niverth;Meagan Niverth, Tim Niverth;Unknown;Meagan Niverth, Tim Niverth, Tim Niverth;;
Deftones Live In Hawaii;2001;Episode;Documentary, Music;7.9;16;Unknown;Unknown;Stephen Carpenter, Chi Cheng, Abe Cunningham, Deftones, Frank Delgado, Chino Moreno;Unknown;Stephen Carpenter, Chi Cheng, Abe Cunningham, Frank Delgado, Chino Moreno;Lewis Friedman, Spencer Thornton;;
Denise Austin: Yoga Booty Lift;2014;Video Movie;Short;;;Unknown;Unknown;Denise Austin;Unknown;Unknown;Unknown;40;
Die Like Lovers;2022;Movie;Thriller;;;United States;English;Bruce Willis, Andy Allo, Mustafa Shakir, Nomzamo Mbatha, Fernanda Andrade, Vanessa Vander Pluym, Eugenia Kuzmina, Chris Mullinax, Christian Rodrigo, Andrea Lareo, Barry Jay Minoff, Adam Huel Potter, Macarena Abad, Bruce Cooper;Jesse Atlas;Unknown;Jesse Atlas, Aaron Wolfe;;
Die Monster Die!;2021;Episode;Comedy;;;Unknown;Unknown;;Unknown;Unknown;Unknown;;
Discovering Dance On Film;2019;Episode;Biography;;;Unknown;Unknown;;Lyndy Saville;Unknown;Unknown;;
Disney'S Gargoyles Creator Doesn'T Want A Reboot! Season 3 Do Over?;2020;Episode;Talk-Show;;;Unknown;Unknown;Thom Pratt, Kambrea Pratt;Kambrea Pratt, Thom Pratt;Unknown;Kambrea Pratt, Thom Pratt;;
Dizzy Doctors;1937;Episode;Comedy;;;Unknown;Unknown;;Unknown;Unknown;Unknown;;
Do You Believe In Miracles?;2010;Episode;Sport;;;Unknown;Unknown;Lauren Thompson;Unknown;Unknown;Unknown;;
Dogs And More Dogs;2004;Episode;Documentary;7.5;28;Unknown;Unknown;John Lithgow;Noel Buckner, Rob Whittlesey;Ray Loring;Noel Buckner, Rob Whittlesey;;
Dora'S Dance To The Rescue;2005;Episode;Animation, Adventure, Comedy, Family, Fantasy, Musical;5.3;7;Unknown;Unknown;Christiana Anbri, Sebastian Arcelus, Jake Burbage, Harrison Chad, Oscar A. Colon, Ashley Fleming, Chris Gifford, Kathleen Herles, Leisha Medina, Britta Phillips, Julian Rebolledo, Stephen Scott Scarpulla, Tom Sharkey, Adam Sietz, Joel Someillan, Sasha Toro, Marc Weiner, Jose Zelaya, Tom Nabler;George Chialtas, Henry Madden, Sherie Pollack;Unknown;Unknown;47;
Dora'S Fairytale Adventure;2004;Episode;Animation, Adventure, Comedy, Family, Fantasy, Musical;6.7;12;Unknown;Unknown;Gabriel Alvarez, Christiana Anbri, Jake Burbage, Harrison Chad, Oscar A. Colon, Ashley Fleming, Henry Gifford, Katie Gifford, Kathleen Herles, Lenny Herrera, Jackie Hoffman, Peter Lurye, Leisha Medina, Margaret Reed, Chita Rivera, Jessica Salas, Stephen Scott Scarpulla, Aisha Shickler, Adam Sietz, Sasha Toro, Leslie Valdes, Marc Weiner, Jake Weinreb, Jose Zelaya, Tom Nabler;Unknown;Steve Sandberg;Eric Weiner;47;
Dr Seuss' The Lorax;2012;Episode;Family;5.2;11;Unknown;Unknown;Johnny Fleming, Danny Devito;Bob Thomson;Unknown;Oliver Crocker;;
Dr. Jekyll & Mr. Hyde (1931);1988;Episode;Horror;;;Unknown;Unknown;Dick Flanigan, John Sveum;Unknown;Unknown;Unknown;;
Dr. Martin Luther King, Jr.: A Historical Perspective;1994;Movie;Documentary, Biography, History;7.4;61;United States;English;Arthur Burghardt, Martin Luther King;Thomas Friedman;Unknown;Thomas Friedman;52;
Dragon Family;2004;Episode;Reality-Tv;9.6;8;Unknown;Unknown;Niecy Nash, Mark Brunetz, Sean Mcewen, Tanya Whitford;Gina Rubinstein;Unknown;Unknown;;
Easy As Pie/Take A Bow;2003;Episode;Animation, Comedy, Family, Musical;;;Unknown;Unknown;Carlos Juan Celi, Sarah Mitchell, Zoe Robb;Unknown;Unknown;Unknown;;
Egg Hunt;2003;Episode;Animation, Adventure, Comedy, Family, Fantasy, Musical;4.6;15;Unknown;Unknown;Kathleen Herles, Harrison Chad, Esai Morales, Marc Weiner, Sasha Toro, Jake Burbage, Jose Zelaya, Ashley Fleming, Eileen Galindo, Amy Principe, Antonia Rey, Karen June Sanchez, Leisha Medina, Jason Thornton;Henry Madden;Steve Sandberg, Josh Sitron, Billy Straus;Chris Gifford, Valerie Walsh, Eric Weiner;25;
Electric Light Orchestra: Zoom Tour Live;2001;Video Movie;Unknown;8.7;133;United States;English;Jeff Lynne, Rosie Vela;Lawrence Jordan;Unknown;Jeff Lynne;98;
Elton John: Live In Barcelona;1992;Video Movie;Documentary, Music;7.8;45;Unknown;Unknown;Elton John, Guy Babylon, Bob Birch, Natalie Jackson, Mortonette Jenkins, Marlena Jeter, Charlie Morgan, Mark Taylor;Andrew Morahan;Unknown;Unknown;120;
Emanuelle In America;2014;Episode;Comedy, Horror;;;Unknown;Unknown;Jerrica Benton;Jerrica Benton;Unknown;Jerrica Benton;39;
Episode 2: I Beg Your Pardon? (Bonus Material);2020;Episode;Talk-Show;;;Unknown;Unknown;;Unknown;Unknown;Unknown;;
Eric Idle'S Personal Best;2006;Episode;Comedy;7.3;52;United Kingdom;English;Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Michael Palin;Unknown;Unknown;Unknown;56;
Essay;1987;Movie;Short;4.5;27;Norway;English;Tobias Asphaug, Kenneth Colban, Lillemor Åril;Martin Asphaug;Unknown;Jan Knutzen;6;
Everything Wrong With National Lampoon'S Christmas Vacation In Sappy Minutes Or Less;2019;Episode;Comedy;;;Unknown;Unknown;Jeremy Scott;Unknown;Unknown;Unknown;16;
Evgeny Kissin: Gift Of Music;1997;Video Movie;Documentary;8.3;29;United States, Canada;English;Evgeny Kissin;Unknown;Unknown;Unknown;104;
Evolution Of Felix The Cat (1919-2019);2019;Episode;Documentary;;;Unknown;Unknown;Dave Lee;Dave Lee;Unknown;Dave Lee;;
Ewoks;1985;Tv Series;Animation, Adventure, Family, Fantasy, Sci-Fi;6.1;1815;Canada, United States;English;Jim Henshaw, James Cranna, Cree Summer, Sue Murphy, Jackie Burroughs, Denny Delk, George Buza, Jeanne Reynolds, Douglas Chamberlain, Esther Scott, Paul Chato, Rick Cimino, Alyson Court, Lucille Bliss, Don Francks, Cody Ryan, Dan Hennessey, Richard Devon, Pam Hyatt, Bob Sarlatte, Taborah Johnson, Madeline, Eric Peterson, Dan St. Paul, John Stocker, Richard Nelson, Greg Swanson, Jodie Smith, Peter Blais, Michael Pritchard, Melleny Melody, Morgan Upton, Leanne Coppen, Rob Cowan, Richard Donat, Desmond Ellis, Michael Fantini, Alan Fawcett, Myra Fried, Glori Gage, Tabitha St. Germain, Marvin Goldhar, Nonnie Griffin, Ron James, Hadley Kay, Joe Matheson, Don Mcmanus, Antony Parr, Diane Polley, Pauline Rennie;Unknown;Unknown;Bob Carrau, Bob Carrau, Bob Carrau;30;
Explosive Dance;1998;Movie;Music;6.6;19;Canada, France, United Kingdom;English;Deborah Bull, Darcey Bussell, Thomas Edur, Dimitri Gruzdyev, Claire Johnstone, Leticia Muller, Antonio Márquez, Kevin Ohare, Agnes Oaks, Ashley Page, Tamara Rojo, Dan Scott, Wayne Sleep, Yuri Yanowsky;Ross Macgibbon;Unknown;Unknown;90;
Extended Edition;2020;Episode;Animation, Short, Family;8.6;23;Unknown;Unknown;;David Bess;Unknown;Unknown;49;
Fã£S;2016;Episode;Comedy, Game-Show, Talk-Show;;;Unknown;Unknown;Tatá Werneck, Fábio Porchat;Elisabetta Zenatti;Unknown;Unknown;;
Familiar Shorts: The Harlem Globetrotters Meet Snow White;2010;Episode;Comedy;;;Unknown;Unknown;Chad Rocco;Chad Rocco;Unknown;Chad Rocco;;
Faster Than Sound;1997;Episode;Documentary;8.4;7;Unknown;Unknown;Stacy Keach;Ingrid Geser, Tony Stark;Howard J. Davidson;Unknown;;
Favorite Nursery Rhymes;2010;Episode;Animation, Family;;;Unknown;Unknown;Bella Abir, Chloe Abir, Alexa Charles, Mavrick Cunningham, Lena Cunninghan, Elian Holsinger, Grant Pugh, Maiya Rodriguez, Lola Shvartsman, Ryker Von Badinski, Orenda Velvet Wurth;Melissa Mable, Jeff Newman;Unknown;Unknown;30;
Finale: Part 1;1995;Episode;Action, Adventure, Fantasy, Mystery, Romance, Sci-Fi;8.4;153;Unknown;Unknown;Adrian Paul, Stan Kirsch, Lisa Howard, Jim Byrnes, Elizabeth Gracen, David Robb, Peter Wingfield, Michel Modo, Roland Gift, Sian Webber, John Suda, Debbie Davis, Matthew Géczy, Emmanuel Karsen, Patrick Albenque, Charles Maquignon, Mykhaël Georges-Schar;Mario Azzopardi;Roger Bellon;Gregory Widen, David Tynan;48;
Flame Of Recca;1997;Tv Series;Animation, Action, Adventure, Comedy, Fantasy, Romance;7.5;280;Unknown;Unknown;Kôsuke Okano, Hikaru Midorikawa, Mariette Sluyter, Motoko Kumai, Carol-Anne Day, Onalea Gilbertson, Akiko Hiramatsu, Adam Hunter, Jonathan Love, Yûki Masuda, Kotono Mitsuishi, Ryôtarô Okiayu, Roger Rhodes, Scott Roberts, Nobuo Tobita, Ryan Luhning, Caitlynne Medrek, Brett Bauer, Angie Beers, Randy Brososky, Sean Broadhurst, Elinor Holt, Lucas Gilbertson, Jeremiah Yurk, Ethan Cole, Maizun Jayoussi, Ben Jeffery, Eiji Itô, Tony Binns, Jennifer Holder, Michael Shepherd, Wataru Takagi, Takumi Yamazaki, Victor Atelevich, Yûko Minaguchi, Katie Rowan, Mark Gatha, Brendan Hunter, Jennifer Bain, Leda Davies, Jordan Henkelman, Barb Mitchell, Josh Rimer, Tracy Sutton, Noah Umholtz, Suzanne Pringle, Steve Olson;Unknown;Unknown;Nobuyuki Anzai, Hiroshi Hashimoto, Satoru Nishizono;22;
Flash: Season 2;2016;Episode;Talk-Show;6.4;6;Unknown;Unknown;Walter Banasiak, Bryan Porter, Heather Reusz, Aiyanna Wade;Unknown;Unknown;Unknown;;
Flight Of The Balloon Man, A Hero Is Born, The Weeping Woman, The Cursed Number, The Teller'S Tale;2018;Episode;Mystery;;;Unknown;Unknown;;Jong-Bin Han, Yeong-Seok Kang, Jin-Ho Kim;Unknown;David Bannon, Heewon Choi, Seol Hee Han;;
Flip Wilson;2014;Episode;Documentary, Biography, History;6.2;5;Unknown;Unknown;Charnele Brown, Tim Conway, Kevin Cook, Nelson George, Jermaine Jackson, Rashon Khan, Cookie Mackenzie, Tracy Morgan, Winston Moss, Stanley Nathanson, Kevin Powell, Joan Rivers, Alan Thicke, Moses Vaison, Gary Anthony Williams, Charles Wilson, Flip Wilson, Stacy Wilson, Tamara Wilson;Unknown;Unknown;Unknown;;
Foyle'S War, Series Iv: Casualties Of War;2007;Episode;Crime, Drama, Mystery;7.9;14;Unknown;Unknown;;Unknown;Unknown;Unknown;;
Franklin And The Green Knight: The Movie;2000;Video Movie;Animation, Adventure, Family, Fantasy, Musical;6.6;158;Canada;English;Noah Reid, Luca Perlman, Olivia Garratt, Kyle Fairlie, Kristen Bone, Leah Renee, Richard Newman, Elizabeth Saunders, Juan Chioran, Paul Essiembre, Jonathan Wilson, Gary Krawford, Ruby Smith-Merovitz, Al Mukadam, James Rankin, Corinne Conley, Valerie Boyle, Adrian Truss, Elizabeth Hanna, Catherine Disher, Paul Haddad, Jim Jones, Debra Mcgrath, Annick Obonsawin, Shirley Douglas;John Van Bruggen;Ray Parker, Tom Szczesniak;Paulette Bourgeois, Brenda Clark, Betty Quan;75;
Friday The 13Th Part 5: A New Beginning;2018;Episode;Horror;;;Unknown;Unknown;Dave Maggot, Horrific Nightmares;Dave Maggot;Unknown;Dave Maggot, Horrific Nightmares;;
Friday The 13Th: Part 3;2015;Episode;Comedy, Talk-Show;;;Unknown;Unknown;Jack Vogt;Jack Vogt;Unknown;Jack Vogt;;
Friend Forever;2005;Episode;Animation;;;Unknown;Unknown;;Karl Geurs, Terence Harrison, Ken Kessel;Unknown;Stephen Sustarsic;;
Frieza Approaches;1999;Episode;Animation, Action, Adventure, Fantasy, Sci-Fi, Thriller;7.8;1441;Japan;Japanese;Sean Schemmel, Stephanie Nadolny, Sonny Strait, Christopher Sabat, Tiffany Vollmer, Linda Young, Ceyli Delgadillo, Dale Kelly, Gordon Holey, Brandon Potter, Mark Lancaster, Rocío Garcel;Daisuke Nishio;Bruce Faulconer;Akira Toriyama, Neil Bligh;25;
Fuller House Season 5 First Fitting... Sorta;2019;Episode;Short;;;Unknown;Unknown;Andrea Barber;Unknown;Unknown;Unknown;;
Gamera 2: Attack Of Legion;2016;Episode;Comedy;;;Unknown;Unknown;Emer Prevost;Unknown;Unknown;Unknown;;
Generator Gawl;1998;Tv Series;Animation, Action, Adventure, Comedy, Drama, Sci-Fi;6.4;257;Japan;Japanese;Vic Mignogna, Jay Hickman, Matt Kelley, Rozie Curtis, Kaytha Coker, Jason Douglas, Monica Rial, Rachel Buchman, John Swasey, Pippa Winslow, Illich Guardiola, James Bates, Kelly Jean Beard, Anna Bechtal, Valerie Harper, Chris Hawley, Lew Temple, Chris Patton, Emily Carter-Essex, Dwayne Babino, Chris Bourque, Shelley Calene-Black, Sean Chisholm, Tanisha Crosby, Catherine Eisele, Jaki Ettlinger, Hiroko Fukumori, Mike Hendricks, Anthony Jefferson, Cedric Knowles, Paul Locklear, David Matranga, Demetria Mayes, Quoc Phu, Dan Rockwell, Chad Rushing, Angela Shelton, Only Spence, Foster Tennant, Susan Weise, Jennifer Westbrook, Nobutoshi Canna, Shinichirô Miki, Tsutomu Kashiwakura, Hideyuki Hori, Yoku Shioya, Yuriko Yamaguchi, Satsuki Yukino, Masami Toyoshima, Shôji Izumi;Unknown;Unknown;Hidefumi Kimura, Hidefumi Kimura, Fumihiko Shimo;30;
Geneshaft;2001;Tv Series;Animation, Sci-Fi;6.4;85;Japan;Japanese;Dominic Armato, Sandy Fox, Crispin Freeman, Kenji Hamada, Kumiko Higa, Yûko Kaida, Yumi Kakazu, Shinji Kawada, Ayako Kawasumi, Houko Kuwashima, Mary Elizabeth Mcglynn, Lani Minella, Candice Moore, Maaya Sakamoto, Takahiro Sakurai, Paula Tiso, Ryôka Yuzuki, Carrie Gordon Lowrey, Valerie Arem, Kiyomi Asai, Ruri Asano, Beau Billingslea, Steve Blum, Brianne Brozey, Jim Gallant, Jessica Gee-George, Barbara Goodson, Kim Mai Guest, Melora Harte, Kyôko Hikami, Akiko Hiramatsu, Hiroaki Ishikawa, Masako Jô, Yoshio Kawai, Sanae Kobayashi, Steve Kramer, Takashi Matsuo, Michael Mcconnohie, Lara Jill Miller, Mitsuru Miyamoto, Ryôko Nagata, Rio Natsuki, Jamieson Price, Victor Raider-Wexler, Donna Rawlins, Melodee Spevack, Fumihiko Tachiki, Kan Tanaka, Misa Watanabe, Beth Wernick;Unknown;Unknown;Kazuki Akane, Melora Harte, Steve Kramer;;
Ghosts Of Rwanda;2004;Episode;Documentary, News;8.7;219;Unknown;Unknown;Madeleine Albright, Gromo Alex, Kofi Annan, Henry Anyidoho, Brent Beardsley, Prudence Bushnell, Willy Claes, Bill Clinton, Roméo Dallaire, Mark Doyle, Philippe Gaillard, Ibrahim Gambari, Katelijne Hermans, Valentina Iribagiza, Paul Kagame, Tony Lake, Laura Lane, Joyce Leader, Will Lyman, Tony Marley, George Moose, Monique Mujawamariya, Bonaventure Niyibizi, Samantha Power, Gitera Rwamuhizi, Michael Sheehan, Charles Vuckovic, Carl Wilkens;Greg Barker;Dan Jones;Greg Barker;120;
Girls Kissing Girls;2016;Episode;Comedy;;;Unknown;Unknown;Alexa Berry, Brianna Endrina, Jessica Obrian, Suzanne Kent, Eryn Guyton, Scott Ferrara, John Mark Loudermilk, Tessa Evelyn Scott, Ryan Dann, Walter Marquez, Heather Iwata, Ryan Nunnerley;Unknown;Unknown;Unknown;;
Girls On Top Special;2012;Episode;Comedy, Game-Show;;;Unknown;Unknown;Leigh Francis, Fearne Cotton, Holly Willoughby, Yewande Alex-Duduyemi, Mel B, Alexandra Burke, Terry Coldwell, Gemma Collins, John Hendy, Jorgie Porter, Nitin Kundra;Unknown;Unknown;Unknown;34;
Godzilla The Series: Monster Wars;2000;Video Game;Action, Sci-Fi;6.2;6;United States;English;;Unknown;Unknown;Unknown;;
Goodnight Marilyn - Imdb;;Unknown;Drama, Thriller;;;United States;English;;Unknown;Unknown;Michael Engel, Don Omelveny;;
Grand Tetons - Yellowstone;2020;Episode;Reality-Tv;;;Unknown;Unknown;;Blake Vaz;Unknown;Unknown;;
Greta Thunberg Says Global Warming Has Killed Australia;2020;Episode;News, Talk-Show;;;Unknown;Unknown;Salty Cracker;Salty Cracker;Unknown;Salty Cracker;;
Gruesome Twosome;1961;Episode;Animation, Crime, Adventure, Comedy;5.0;12;Unknown;Unknown;Paul Frees, Jerry Hausner, Benny Rubin, Everett Sloane;Abe Levitow, Ray Patterson, Abe Levitow;Carl Brandt;Chester Gould, Homer Brightman;;
Gulda: Mozart Concertos;1986;Movie;Music;;;West Germany;German;Friedrich Gulda;János Darvas;Unknown;Unknown;83;
Gundam 0080: War In The Pocket;2018;Episode;Comedy;;;Unknown;Unknown;Bennett White;Bennett White;Unknown;Bennett White;13;
Gupt;2016;Episode;Crime;;;Unknown;Unknown;Satyajeet Rajput;Unknown;Unknown;Anshuman Sinha;;
Guyver 2: Dark Hero;2017;Episode;Comedy;;;Unknown;Unknown;;Unknown;Unknown;Unknown;;
Harold And Kumar Go To White Castle: I Didn'T Get Pimped In My Med School Interviews;2019;Episode;Comedy, Talk-Show;;;Unknown;Unknown;Johnny Kolasinski, Jackson Vane;Unknown;Unknown;Johnny Kolasinski, Jackson Vane;;
Harold And The Purple Crayon;2023;Movie;Animation;;;United States;English;Zachary Levi;Unknown;Unknown;Dallas Clayton, David Guion, Michael Handelman;;
Harry Connick, Jr.: Only You;2004;Episode;Drama;;;Unknown;Unknown;;Pierre Lamoureux;Unknown;Unknown;;
Hell Girl Vol. 1;2014;Episode;Short, Horror;;;Unknown;Unknown;Lewis Lovhaug;Lewis Lovhaug;Unknown;Lewis Lovhaug;4;
Here'S Lucy;1968;Tv Series;Comedy;6.9;1412;Unknown;Unknown;Lucille Ball, Gale Gordon, Lucie Arnaz, Desi Arnaz Jr., Sid Gould, Mary Jane Croft, Vanda Barra, Walter Smith, Shirley Anthony, Mary Wickes, Orwin C. Harvey, Larry J. Blake, Bob Whitney, Marl Young, Gary Morton, Vivian Vance, Jack Collins, Tommy Farrell, Robert Foulk, Clarence Landry, Carole Cook, Irwin Charone, John J. Fox, Emile Autuori, Roy Roberts, Rhodes Reason, Robert Carson, Robert Alda, Roy Rowan, Wally Cox, Herbie Faye, Doris Singleton, William Lanteau, Paul Picerni, Jack Benny, Eugene Molnar, Dick Patterson, Boyd Red Morgan, Gloria Wood, Carol Burnett, Jack Donohue, Lola Fisher, Reta Shaw, Cliff Norton, Ben Wrigley, Hank Brandt, Bruce Gordon, Billy Sands, Harry Hickox, Elliott Reid;Unknown;Unknown;Milt Josefsberg, Milt Josefsberg, Ray Singer;30;
Hindsight Is 20/20;2004;Episode;Comedy;8.1;8;Unknown;Unknown;Steve Smith;Unknown;Unknown;Rick Green, Rob Sheridan, Steve Smith;;
His And Her Circumstances;1998;Tv Series;Animation, Comedy, Drama, Romance;7.7;1428;Japan;Japanese;Atsuko Enomoto, Megan Hollingshead, Christopher Nicholas, Dick Rodstein, Chihiro Suzuki, Veronica Taylor, Jessica Calvello, J. David Brimmer, Liam Obrien, Yuki Watanabe, Maria Yamamoto, Atsushi Kisaichi, Junko Noda, Mayumi Shintani, Yukari Fukui, Saeko Chiba, Kelli Shayne Butler, Joe Digiorgi, Amanda Goodman, William Hirsh, Carol Jacobanis, Lea Lane, Ted Lewis, Rachael Lillis, Kristen Nelson, Lisa Ortiz, Debora Rabbai, Bill Rogers, Leicester Tunks, Buddy Woodward, Oliver Wyman;Unknown;Unknown;Hideaki Anno, Hiroyuki Imaishi, Masami Tsuda;24;
Holiday Celebration;2009;Episode;Unknown;;;Unknown;Unknown;;Unknown;Unknown;Unknown;22;
Holland'S Barriers To The Sea;2003;Episode;Documentary;7.9;26;Unknown;Unknown;;Unknown;Claudio Ragazzi;Ed Fields, Alan Lindgren;41;
Hollywood Musicals Of The 40'S;2000;Video Movie;Documentary;;;United States;English;;Unknown;Unknown;Unknown;89;
Hot Diggety Dawg;1995;Episode;Adventure, Comedy, Family;8.8;20;Unknown;Unknown;Larry Brantley, Jordan Wall, Christie Abbott, Adam Springfield, Mary Chris Wall, Angee Hughes, Jonathan Brent, Matthew Tompkins, Charles Sprinkle, Soccer The Dog;Fred Holmes;Mark Menza;Jules Verne;;
House Of Yes: Live From House Of Blues;2000;Video Movie;Documentary, Music;7.5;66;United States;English;Jon Anderson, Steve Howe, Chris Squire, Alan White, Billy Sherwood, Igor Khoroshev, Yes;Unknown;Unknown;Unknown;112;
Howling Ii: Your Sister Is A Werewolf;2010;Episode;Comedy, Drama, Horror, Mystery, Sci-Fi, Talk-Show, Thriller;;;Unknown;Unknown;Rich Koz;Unknown;Unknown;Unknown;;
Hugh Hefner: American Playboy;1996;Episode;Documentary, Biography;7.4;99;Unknown;Unknown;;Unknown;Unknown;Unknown;;
I.M. Pei: Building China Modern;2010;Episode;Documentary, Biography;6.5;75;Unknown;Unknown;;Anne Makepeace;Unknown;Brian Funck;;
Inside Shock & Awe;2005;Episode;Documentary, History;7.0;15;Unknown;Unknown;Tariq Aziz, Stephen Biddle, Tami Davis Biddle, George W. Bush, Michael Delong, Tommy Franks, Christopher Gillet, Saddam Hussein, Kris Kral, Lisa Ling, Ivan Oelrich, Harlan Ulman, Salvatore Vecchio;Unknown;Lenny Williams;Tony Long;;
Inspector Morse I: Service Of All The Dead 1;1988;Episode;Crime, Drama, Mystery;;;Unknown;Unknown;Vincent Price;Unknown;Unknown;Unknown;;
Inspector Morse I: The Dead Of Jericho 2;1988;Episode;Crime, Drama, Mystery;7.0;8;Unknown;Unknown;Vincent Price;Unknown;Unknown;Unknown;;
Inspector Morse Ii: Last Bus To Woodstock;1989;Episode;Crime, Drama, Mystery;7.1;10;Unknown;Unknown;Vincent Price;Unknown;Unknown;Unknown;;
Inspector Morse Ii: The Wolvercote Tongue;1989;Episode;Crime, Drama, Mystery;7.9;11;Unknown;Unknown;Vincent Price;Unknown;Unknown;Unknown;;
